user_id,book_id,rating
1,258,5
2,4081,4
2,260,5
2,9296,5
2,2318,3
2,26,4
2,315,3
2,33,4
2,301,5
2,2686,5
2,3753,5
2,8519,5
4,70,4
4,264,3
4,388,4
4,18,5
4,27,5
4,21,5
4,2,5
4,23,5
4,24,5
4,964,4
4,103,5
4,255,2
4,35,5
4,287,3
4,337,4
4,26,3
4,84,4
4,58,4
4,1117,3
4,660,3
4,111,2
4,5,4
4,413,4
4,8,4
4,2172,4
4,65,4
4,297,4
4,45,4
4,113,4
4,325,5
4,476,3
6,6351,4
8,2732,5
8,1432,3
8,479,4
8,3020,5
8,6195,4
8,614,4
8,4622,5
8,9114,5
8,194,4
8,14,5
8,2584,5
8,55,5
8,772,4
8,778,5
8,1937,3
8,493,5
8,362,5
8,1967,3
8,529,5
8,5425,5
4,1237,5
4,145,2
4,36,5
4,102,5
4,222,4
4,200,4
4,13,4
4,640,3
4,693,5
4,575,3
4,55,4
1,268,3
1,5556,3
1,3638,3
1,1796,5
1,867,3
1,47,3
1,2738,3
4,1296,3
4,50,4
4,87,5
4,86,4
4,123,4
4,32,4
4,28,3
4,33,3
4,42,5
4,249,4
4,158,4
4,373,4
4,184,4
4,495,4
4,350,3
4,492,4
4,219,4
4,288,4
4,11,4
4,245,5
4,301,4
4,1057,3
4,596,3
4,782,3
4,426,3
9,397,3
9,658,4
9,101,5
9,344,4
9,372,4
9,943,5
9,1923,4
9,122,4
9,212,5
9,1642,4
9,317,4
9,33,3
9,26,2
9,9,1
9,81,1
9,60,5
9,494,2
9,238,3
9,14,4
9,570,5
9,795,4
9,2193,2
9,11,1
9,3417,5
9,4139,5
9,1055,4
9,181,5
9,5,5
9,119,4
9,4815,5
9,1221,3
9,1301,2
9,1986,2
9,1057,2
9,1037,2
9,963,2
9,596,2
9,1388,2
9,7868,2
9,1407,2
9,227,2
9,213,2
9,587,4
9,664,4
9,476,2
9,325,2
9,407,5
9,1311,2
9,10,5
9,76,4
9,171,4
11,111,2
11,11,4
11,94,5
11,2559,5
11,522,3
11,258,3
11,408,3
11,516,4
11,6944,3
11,426,4
11,495,3
11,574,3
11,8,5
11,26,3
11,33,4
11,3560,5
11,233,5
11,325,4
11,3703,3
11,2079,4
11,1853,3
11,9606,3
11,7277,4
11,115,4
8,177,5
11,47,4
15,8,5
15,2,4
15,5,4
15,101,5
15,4,3
15,24,4
15,11,5
15,27,4
15,18,4
15,21,3
15,65,5
15,13,4
15,33,5
15,26,3
15,2903,4
15,230,4
15,10,5
15,76,5
15,471,4
15,483,5
15,2339,5
15,709,5
15,167,5
15,361,3
15,326,5
15,87,5
15,304,5
15,100,4
15,306,5
15,337,5
15,92,4
15,887,3
15,119,5
15,310,5
15,465,4
15,8440,4
15,71,4
15,1329,5
15,795,5
15,2193,4
15,3002,4
15,241,5
15,4043,4
15,148,4
15,68,5
15,1144,4
15,941,4
15,782,4
15,1993,5
15,1217,5
15,2347,5
15,7260,4
15,9363,4
15,688,5
15,3340,5
15,14,4
15,550,4
15,115,5
15,8842,3
15,344,4
15,171,5
15,36,5
18,572,4
18,3566,3
18,2584,4
18,557,4
18,1102,2
18,344,4
18,3551,2
18,60,3
18,101,4
18,372,3
18,943,4
18,1923,4
18,2615,4
18,4054,5
4,3273,2
4,1037,4
4,100,3
4,48,4
4,95,4
4,1311,3
4,387,4
4,497,5
4,2190,4
4,1733,3
4,1301,3
4,489,5
4,1435,4
4,1380,5
4,221,4
4,401,4
4,131,4
4,3469,5
18,662,4
18,2770,5
18,9287,2
18,13,4
18,119,4
18,1544,4
18,426,4
18,3219,3
18,55,4
18,48,4
18,65,5
18,405,4
18,3068,4
18,3202,4
18,7538,5
18,7254,5
22,264,2
22,284,4
22,350,5
18,8329,4
8,45,3
24,378,4
24,323,4
24,100,4
24,1144,4
24,1752,5
24,860,4
24,2188,4
24,1031,5
24,2304,5
24,7770,4
24,2142,5
24,4149,3
24,233,4
24,948,4
24,1936,5
24,2738,4
24,2586,4
24,1970,3
24,483,4
24,1329,4
24,7409,4
24,9,4
24,326,5
24,26,3
24,33,4
24,289,5
24,662,5
22,7638,3
22,442,4
22,1142,4
22,3425,5
22,176,5
22,349,4
22,232,2
22,1589,4
22,1900,4
22,670,4
22,1498,4
22,739,4
22,488,2
22,865,3
22,1987,5
22,2352,2
22,168,5
22,3314,2
22,48,5
22,2673,2
22,9,2
22,1236,3
22,289,5
22,4810,4
18,130,5
25,14,4
25,8336,4
25,653,5
25,5374,4
25,872,4
25,8949,5
25,977,5
25,4602,4
25,7277,4
25,5730,5
25,483,5
25,4531,5
25,58,4
25,4,4
25,13,4
25,2339,5
25,5940,5
25,65,5
25,2975,4
24,148,3
24,136,3
24,78,2
24,1639,4
24,186,3
24,398,3
24,60,2
24,2320,3

