book_id,book_title,genre
1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",fantasy
3,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",fantasy
5,"Eclipse (Twilight, #3)",fantasy
6,"The Golden Compass (His Dark Materials, #1)",fantasy
17,"A Feast for Crows (A Song of Ice and Fire, #4)",fantasy
19,"Fallen (Fallen, #1)",fantasy
23,Ella Enchanted,fantasy
27,Coraline,fantasy
33,"Graceling (Graceling Realm, #1)",fantasy
36,Stardust,fantasy
38,The Lorax,fantasy
46,Snow Crash,fantasy
47,"Clockwork Princess (The Infernal Devices, #3)",fantasy
53,"Untamed (House of Night, #4)",fantasy
57,"Left Behind (Left Behind, #1)",fantasy
59,"Dead to the World (Sookie Stackhouse, #4)",fantasy
60,The Master and Margarita,fantasy
61,The Tale of Peter Rabbit,fantasy
65,The True Story of the 3 Little Pigs,fantasy
69,"The Last Battle (Chronicles of Narnia, #7)",fantasy
70,"Definitely Dead (Sookie Stackhouse, #6)",fantasy
79,The Hunger Games: Official Illustrated Movie Companion,fantasy
80,"The Shadow Rising (Wheel of Time, #4)",fantasy
81,"The Waste Lands (The Dark Tower, #3)",fantasy
84,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",fantasy
86,"Dead and Gone (Sookie Stackhouse, #9)",fantasy
90,Calvin and Hobbes,fantasy
92,"Howl's Moving Castle (Howl's Moving Castle, #1)",fantasy
99,The Neverending Story,fantasy
103,"The Forever War (The Forever War, #1)",fantasy
105,"The Fires of Heaven (Wheel of Time, #5)",fantasy
116,"Equal Rites (Discworld, #3; Witches #1)",fantasy
124,"Summer Knight (The Dresden Files, #4)",fantasy
132,"The Miserable Mill (A Series of Unfortunate Events, #4)",fantasy
133,The Snow Child,fantasy
138,"Ringworld (Ringworld, #1)",fantasy
143,"The Awakening (Darkest Powers, #2)",fantasy
149,The Twits,fantasy
152,"Dead Witch Walking (The Hollows, #1)",fantasy
154,"Messenger (The Giver, #3)",fantasy
159,"The Last Unicorn (The Last Unicorn, #1)",fantasy
162,"School's Out—Forever (Maximum Ride, #2)",fantasy
163,"Winter (The Lunar Chronicles, #4)",fantasy
164,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",fantasy
169,The Stand: Captain Trips,fantasy
175,"The Golem and the Jinni (The Golem and the Jinni, #1)",fantasy
176,"Alanna: The First Adventure (Song of the Lioness, #1)",fantasy
183,"The Tale of the Body Thief (The Vampire Chronicles, #4)",fantasy
184,"Blood of the Fold (Sword of Truth, #3)",fantasy
186,"Masquerade (Blue Bloods, #2)",fantasy
187,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",fantasy
192,"Paranormalcy (Paranormalcy, #1)",fantasy
195,"Turn Coat (The Dresden Files, #11)",fantasy
196,The Mitten,fantasy
197,"Shadow of the Hegemon (Ender's Shadow, #2)",fantasy
202,"Garden Spells (Waverley Family, #1)",fantasy
207,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",fantasy
208,Alice's Adventures in Wonderland,fantasy
209,Uprooted,fantasy
211,"Faith of the Fallen (Sword of Truth, #6)",fantasy
216,"The Sword of Shannara (The Original Shannara Trilogy, #1)",fantasy
217,"Night World, No. 3 (Night World, #7-9)",fantasy
219,"A Bear Called Paddington (Paddington, #1)",fantasy
221,"InuYasha: Turning Back Time (InuYasha, #1)",fantasy
223,"Shift (Silo, #2)",fantasy
225,"Lioness Rampant (Song of the Lioness, #4)",fantasy
226,The Mote in God's Eye,fantasy
227,Wicked: The Grimmerie,fantasy
228,"Preacher, Volume 1: Gone to Texas",fantasy
230,"Shadowfever (Fever, #5)",fantasy
233,"Lover Unleashed (Black Dagger Brotherhood, #9)",fantasy
241,"The Twilight Collection (Twilight, #1-3)",fantasy
246,"New Spring (Wheel of Time, #0)",fantasy
249,"Skin Game (The Dresden Files, #15)",fantasy
253,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",fantasy
258,Kingdom Come,fantasy
262,The Time Machine/The Invisible Man,fantasy
268,We,fantasy
276,"Hallowed (Unearthly, #2)",fantasy
277,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",fantasy
282,"Kushiel's Dart (Phèdre's Trilogy, #1)",fantasy
283,"The Iron Knight (The Iron Fey, #4)",fantasy
284,"Feet of Clay (Discworld, #19; City Watch, #3)",fantasy
286,"Flyte (Septimus Heap, #2)",fantasy
287,"The Girl of Fire and Thorns (Fire and Thorns, #1)",fantasy
289,"The Ask and the Answer (Chaos Walking, #2)",fantasy
291,The Trumpet of the Swan,fantasy
292,The Cricket in Times Square,fantasy
299,"Lord Brocktree (Redwall, #13)",fantasy
300,"Golden Fool (Tawny Man, #2)",fantasy
301,"Naked Empire (Sword of Truth, #8)",fantasy
304,Of Love and Other Demons,fantasy
305,The Demigod Files (Percy Jackson and the Olympians),fantasy
308,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",fantasy
310,Marvel 1602,fantasy
312,"1Q84 BOOK 1 (1Q84, #1)",fantasy
314,"Dark Flame (The Immortals, #4)",fantasy
316,"Soul Eater, Vol. 01 (Soul Eater, #1)",fantasy
319,"Monsters of Men (Chaos Walking, #3)",fantasy
320,"A Princess of Mars (Barsoom, #1)",fantasy
322,"The Sweet Far Thing (Gemma Doyle, #3)",fantasy
325,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",fantasy
328,"The Paper Magician (The Paper Magician Trilogy, #1)",fantasy
334,Put Me in the Zoo,fantasy
335,"Firelight (Firelight, #1)",fantasy
339,"Starcrossed (Starcrossed, #1)",fantasy
340,"Night Star (The Immortals, #5)",fantasy
344,Black Hole,fantasy
347,Anya's Ghost,fantasy
